GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,IrrigationEquipmentController,99,10,0,0,17,2,5,2,5,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,SectorController,111,10,0,0,20,2,6,2,6,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,IrrigationController,125,10,0,0,21,2,6,2,6,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,WaterSourceController,78,10,0,0,18,2,5,2,5,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,ReservoirTurnController,82,10,0,0,18,2,5,2,5,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,HumiditySensorController,82,10,0,0,18,2,5,2,5,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,TaskController,57,6,0,0,10,1,4,1,4,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,EnergyConsumptionController,78,10,0,0,18,2,5,2,5,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,MaintenanceController,82,10,0,0,18,2,5,2,5,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,PrecipitationController,130,10,0,0,24,2,8,2,8,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,GlobalSectorController,16,10,0,0,5,2,1,2,1,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,OperationTypeController,47,3,0,0,2,1,1,1,1,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,FertilizationController,63,10,0,0,14,2,4,2,4,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,HumidityAlertController,108,10,0,0,18,2,5,2,5,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.riego,FarmController,12,74,0,0,2,17,0,7,0,7
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.notification,NotificationService,10,97,0,2,3,20,2,7,2,6
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.notification,FcmService,114,21,16,2,39,6,10,3,1,3
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.scheduler,WeatherScheduler,70,30,1,1,14,6,4,3,3,3
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.audit,AuditController,141,10,0,0,19,2,7,2,7,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.config,AgronomicConfigDTO,218,17,46,0,3,3,33,5,10,5
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.config,WeatherConfigDTO,195,0,38,0,5,0,32,0,13,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.config,ReportConfigDTO,155,0,30,0,4,0,26,0,11,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.config,OrganizationConfigDTO,195,0,38,0,5,0,32,0,13,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.config,NotificationConfigDTO.ChannelConfig,75,0,14,0,2,0,14,0,7,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.config,NotificationConfigDTO,116,0,22,0,3,0,20,0,9,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.config,SecurityConfigDTO,185,10,38,0,3,2,29,3,10,3
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.dashboard,AnalystDashboardController,24,6,0,0,4,1,3,1,3,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.dashboard,DashboardController,7,6,0,0,2,1,1,1,1,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.event,TaskStatusUpdatedEvent,15,0,0,0,1,0,1,0,1,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.event,TaskAssignedEvent,12,0,0,0,1,0,1,0,1,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.event,HumidityAlertCreatedEvent,15,0,0,0,1,0,1,0,1,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.event,MaintenanceCreatedEvent,15,0,0,0,1,0,1,0,1,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.exception,ErrorResponse,204,33,40,0,2,6,30,6,10,6
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.auth,RegisterRequest,197,56,46,0,0,8,27,12,4,12
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.auth,AuthRequest,98,26,22,0,0,5,15,6,4,6
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.auth,AuthResponse,148,24,26,0,6,4,22,4,9,4
